Адрес,Год постройки,Этажей,Квартир,Ссылка,latitude,longitude,Магазинов по близости,Дикси,Магнит,Пятёрочка,Перекрёсток,Лента,Вкустер,Верный
 ул. Балтийская 2/14 , 1963,6,214, https://dom.mingkh.ru//sankt-peterburg/sankt-peterburg/29505,30.278363,59.897375,0,False,False,False,False,False,False,False
 ул. Балтийская 36/9 , 1880,4,45, https://dom.mingkh.ru//sankt-peterburg/sankt-peterburg/29524,30.286691,59.899591,0,False,False,False,False,False,False,False
 Балтийский б-р 4 Строение 1, 2018,25,1088, https://dom.mingkh.ru//sankt-peterburg/sankt-peterburg/1092735,30.155636,59.869006,1,False,False,False,True,False,True,False
 ул. Бармалеева 2 , 2001,6,17, https://dom.mingkh.ru//sankt-peterburg/sankt-peterburg/1160462,30.308556,59.962944,1,False,False,True,False,False,False,False
 ул. Бармалеева 7 , 1897,4,6, https://dom.mingkh.ru//sankt-peterburg/sankt-peterburg/1151791,30.306975,59.963958,0,False,False,False,False,False,False,False
 ул. Бармалеева 9 , 1911,5,23, https://dom.mingkh.ru//sankt-peterburg/sankt-peterburg/1151792,30.306615,59.964088,0,False,False,False,False,False,False,False
 ул. Бармалеева 10 , 1902,5,18, https://dom.mingkh.ru//sankt-peterburg/sankt-peterburg/1151793,30.305978,59.964111,0,False,False,False,False,False,False,False
 ул. Бармалеева 12 , 1901,5,8, https://dom.mingkh.ru//sankt-peterburg/sankt-peterburg/1151794,30.3056,59.964277,0,False,False,False,False,False,False,False
 ул. Бармалеева 15 , 1902,4,7, https://dom.mingkh.ru//sankt-peterburg/sankt-peterburg/1151795,30.305277,59.964701,0,False,False,False,False,False,False,False
 ул. Бармалеева 18 , 1907,5,31, https://dom.mingkh.ru//sankt-peterburg/sankt-peterburg/22596,30.30454,59.964678,0,False,False,False,False,False,False,False
 ул. Бармалеева 20 , 1905,5,8, https://dom.mingkh.ru//sankt-peterburg/sankt-peterburg/1151797,30.303965,59.964944,0,False,False,False,False,False,False,False
 ул. Бармалеева 21 , 1911,6,9, https://dom.mingkh.ru//sankt-peterburg/sankt-peterburg/1151798,30.303768,59.965286,0,False,False,False,False,False,False,False
 ул. Бармалеева 24 , 1912,5,27, https://dom.mingkh.ru//sankt-peterburg/sankt-peterburg/1151799,30.303121,59.965219,1,False,False,False,False,True,False,False
 ул. Бармалеева 26 , 1913,5,19, https://dom.mingkh.ru//sankt-peterburg/sankt-peterburg/1151800,30.302259,59.965557,2,True,False,False,False,True,False,False
 ул. Бармалеева 28 , 1890,4,15, https://dom.mingkh.ru//sankt-peterburg/sankt-peterburg/1151801,30.301657,59.965719,2,True,False,False,False,True,False,False
 ул. Бармалеева 33 , 1900,4,23, https://dom.mingkh.ru//sankt-peterburg/sankt-peterburg/1151802,30.301217,59.966309,3,True,False,False,False,True,False,False
 ул. Барочная 2 , 1899,5,43, https://dom.mingkh.ru//sankt-peterburg/sankt-peterburg/22597,30.285748,59.964714,0,False,False,False,False,False,False,False
 ул. Барочная 4 Литер Е, 1902,6,30, https://dom.mingkh.ru//sankt-peterburg/sankt-peterburg/1201268,30.286691,59.965367,0,False,False,False,False,False,False,False
 ул. Барочная 4 Литер Ж, 1902,5,10, https://dom.mingkh.ru//sankt-peterburg/sankt-peterburg/1201269,30.286655,59.965606,0,False,False,False,False,False,False,False
 ул. Барочная 8 , 1911,6,71, https://dom.mingkh.ru//sankt-peterburg/sankt-peterburg/1115477,30.287805,59.966025,1,False,False,False,False,True,False,False
 ул. Барочная 12 , 2010,11,335, https://dom.mingkh.ru//sankt-peterburg/sankt-peterburg/222769,30.287993,59.969304,0,False,False,False,False,False,False,False
